Antworten,Abgegeben:,Institution,Abteilung,Kurs,Gruppe,ID,Vollständiger Name,Anmeldename,Klasse,Alter,Geschlecht,Haarfarbe,Augenfarbe,Koerpergroesse,Sport,Schuhgrösse,Handspanne,Geschwister,Postleitzahl,Schlafzimmer,Ausbildung,Programmierkenntnisse,Statistische Vorkenntnisse,Anreisezeit an die ZHAW
44275,19.09.2024 11:29:24,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym1,NA,DS24t,32,männlich,braun,Braun,176,3,42,35,2,8105,2. Stock,NA,gering,gering,40
44266,19.09.2024 11:28:48,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym2,NA,DS24t,24,weiblich,braun,grün,163,4,41,17,1,8413,1. Stock,FMS,gering,gering,30
44253,19.09.2024 11:28:52,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym3,NA,DS24t,26,männlich,braun,Blau,196,3,47.0,NA,2,8038,0 (Parterre),Informatiker,mittel,mittel,60
44254,19.09.2024 11:27:55,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym4,NA,DS24t,22,männlich,braun,braun,170,8,42,18,1,8305,2. Stock,Applikationsentwickler,mittel,gering,25
44263,19.09.2024 11:27:45,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym5,NA,DS24t,22,männlich,braun,brown,175,6,43,17,1,8472,1. Stock,NA,mittel,gering,30
44257,19.09.2024 11:28:54,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym6,NA,DS24t,25,männlich,braun,braun,181,6,44,17,0,8737,0 (Parterre),Applikationsentwickler,gross,gering,90
44268,19.09.2024 11:28:48,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym7,NA,DS24t,28,männlich,braun,Blau,173,4,41,23,2,5432,4. Stock,Buchhalter,gering,gross,55
44251,19.09.2024 11:28:29,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym8,NA,DS24t,29,männlich,schwarz,braun,168,4,42,20,1,8600,1. Stock,Gymnasium,gering,mittel,40
44273,19.09.2024 11:28:07,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym9,NA,DS24t,21,männlich,schwarz,braun,172,5,43,18,1,8200,0 (Parterre),KV,gering,gering,35
44262,19.09.2024 11:28:20,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym10,NA,DS24t,22,männlich,blond,Grün/Braun,184,4,46,17,1,8303,1. Stock,Automatiker,mittel,gering,20
44267,19.09.2024 11:29:17,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym11,NA,DS24t,34,männlich,braun,braun,174,3,41,23,0,8047,2. Stock,Gymnasium,gering,mittel,50
44265,19.09.2024 11:28:08,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym12,NA,DS24t,21,weiblich,braun,Braun,175,5,39,18,5,8800,1. Stock,KV,nicht vorhanden,gering,80
44255,19.09.2024 11:28:14,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym13,NA,DS24t,25,weiblich,braun,braun,169,3,38.5,19,1,8050,1. Stock,KME,gross,gering,35
44256,19.09.2024 11:28:10,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym14,NA,DS24t,24,weiblich,braun,Braun,158,6,37,19,2,8134,0 (Parterre),KV,nicht vorhanden,gering,80
44276,19.09.2024 11:28:48,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym15,NA,DS24t,20,männlich,schwarz,Braun,179,2,NA,NA,1,7270,1. Stock,Kaufmann,gering,gering,10
44250,19.09.2024 11:27:03,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym16,NA,DS24t,21,weiblich,braun,braun,165,11,38,19,2,8602,3. Stock,Chemielaborantin,nicht vorhanden,gering,20
44261,19.09.2024 11:28:26,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym17,NA,DS24t,24,männlich,braun,braun,178,6,44,19,0,8484,3. Stock,Applikationsentwicklung,mittel,mittel,15
44252,19.09.2024 11:27:30,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym18,NA,DS24t,23,weiblich,blond,blau,158,3,39,20,0,8406,2. Stock,Buchhändlerin EFZ,gering,gering,10
44264,19.09.2024 11:29:08,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym19,NA,DS24t,30,männlich,braun,braun,180,6,45,24,1,8047,2. Stock,Gymnasium,gross,gering,40
44272,19.09.2024 11:28:49,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym20,NA,DS24t,19,männlich,braun,Braun,187,3,46,22,2,8952,1. Stock,Gymnasium,mittel,gering,60
44274,19.09.2024 11:29:31,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym21,NA,DS24t,25,männlich,braun,Braun,175,4,42.0,18,2,8000,2. Stock,Kirchenfeld,mittel,mittel,45
44269,19.09.2024 11:27:33,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym22,NA,DS24t,21,männlich,schwarz,Braun,174,8,43,16,5,9203,0 (Parterre),Applikationsentwickler,gross,gering,60
44270,19.09.2024 11:27:34,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym23,NA,DS24t,27,männlich,blond,blau,178,6,42,22,2,8400,4. Stock,KV,mittel,gering,5
44258,19.09.2024 11:30:10,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym24,NA,DS24t,22,männlich,braun,blau,167,2,41,20,1,8305,4. Stock,Informatiker EFZ (SYS),gross,gering,30
44271,19.09.2024 11:29:34,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym25,NA,DS24t,18,männlich,braun,Braun,185,5,44,15,1,8570,2. Stock,Gymnasium,gross,mittel,30
44260,19.09.2024 11:27:48,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym26,NA,DS24t,27,weiblich,blond,grün,160,3,36,18,0,8049,2. Stock,Gymnasium,mittel,mittel,40
44259,19.09.2024 11:29:47,zhaw.ch,T,Explorative Datenanalyse XX.EXPD (DS24t),(Teilnehmer/innen, die keiner Gruppe zugeordnet sind),NA,Anonym27,NA,DS24t,23,männlich,schwarz,Braun,170,4,43,20,1,8305,4. Stock,Informatiker EFZ (Sys),gross,mittel,20
